SN,BIN,Shape,FAI156,FAI156-P1,FAI156-P2,FAI156-P3,FAI156-P4,FAI156-P5,FAI156-P6,FAI156-P7,FAI156-P8,FAI156-P9,FAI156-P10,FAI156-P11,FAI156-P12,FAI156-P13,FAI156-P14,FAI156-P15,FAI156-P16,FAI156-P17,FAI156-P18,FAI156-P19,FAI156-P20
1,,,0.268,-0.05,-0.045,-0.036,-0.005,-0.04,-0.088,-0.03,0.015,0.061,0.18,0.143,0.127,0.04,-0.004,-0.061,-0.065,-0.035,-0.032,-0.034,-0.04
2,,,0.242,-0.029,-0.028,-0.016,0.013,-0.036,-0.1,-0.044,-0.006,0.021,0.142,0.123,0.129,0.043,0.01,-0.041,-0.05,-0.017,-0.02,-0.037,-0.057
3,,,0.268,-0.044,-0.038,-0.031,0.01,-0.038,-0.107,-0.035,0.008,0.04,0.161,0.141,0.145,0.041,0,-0.05,-0.055,-0.025,-0.022,-0.039,-0.062
4,,,0.233,-0.03,-0.026,-0.019,0.009,-0.034,-0.088,-0.035,0.003,0.044,0.145,0.119,0.109,0.028,-0.014,-0.058,-0.066,-0.033,-0.026,-0.018,-0.01
5,,,0.25,-0.028,-0.029,-0.022,0.002,-0.038,-0.09,-0.039,0.003,0.053,0.16,0.125,0.109,0.033,-0.008,-0.058,-0.07,-0.041,-0.04,-0.026,0.005
6,,,0.369,-0.05,-0.051,-0.031,0.019,-0.053,-0.149,-0.056,-0.01,0.01,0.184,0.187,0.22,0.085,0.044,-0.029,-0.045,-0.034,-0.047,-0.084,-0.111
7,,,0.221,-0.032,-0.028,-0.018,0.009,-0.03,-0.08,-0.034,0.003,0.036,0.141,0.114,0.1,0.027,-0.009,-0.05,-0.057,-0.026,-0.022,-0.019,-0.023
8,,,0.448,-0.042,-0.034,-0.016,0.034,-0.043,-0.157,-0.087,-0.051,-0.059,0.126,0.163,0.244,0.128,0.115,0.064,0.023,-0.007,-0.06,-0.136,-0.204
9,,,0.274,-0.048,-0.042,-0.027,0.017,-0.04,-0.114,-0.039,0.006,0.037,0.16,0.146,0.153,0.046,0.007,-0.044,-0.052,-0.026,-0.025,-0.045,-0.07
10,,,0.48,0.056,0.063,0.034,-0.033,0.06,0.189,0.025,-0.013,0.031,-0.145,-0.199,-0.291,-0.072,-0.08,-0.009,-0.005,0.064,0.091,0.133,0.103
11,,,0.313,-0.043,-0.037,-0.032,0.006,-0.05,-0.119,-0.044,-0.01,-0.016,0.148,0.159,0.194,0.101,0.066,0.001,-0.037,-0.043,-0.063,-0.082,-0.1
12,,,0.325,-0.058,-0.05,-0.032,0.017,-0.047,-0.133,-0.05,-0.003,0.026,0.192,0.176,0.187,0.07,0.025,-0.035,-0.047,-0.03,-0.04,-0.071,-0.098
13,,,0.406,-0.009,-0.012,-0.015,0.011,-0.065,-0.178,-0.116,-0.072,-0.012,0.181,0.192,0.228,0.136,0.098,0.024,-0.026,-0.048,-0.077,-0.107,-0.134
14,,,0.255,-0.045,-0.04,-0.032,-0.005,-0.038,-0.084,-0.032,0.013,0.066,0.171,0.134,0.11,0.036,-0.011,-0.06,-0.062,-0.031,-0.028,-0.028,-0.034
15,,,0.22,-0.019,-0.019,-0.02,0.001,-0.039,-0.089,-0.039,-0.013,-0.008,0.11,0.113,0.131,0.077,0.04,0,-0.032,-0.039,-0.046,-0.052,-0.059
16,,,0.286,-0.042,-0.037,-0.031,-0.003,-0.043,-0.104,-0.044,0.006,0.052,0.182,0.149,0.143,0.051,0.005,-0.05,-0.069,-0.048,-0.051,-0.046,-0.021
17,,,0.333,-0.042,-0.035,-0.019,0.022,-0.03,-0.149,-0.081,-0.006,0.051,0.184,0.159,0.163,0.052,0.01,-0.048,-0.056,-0.021,-0.027,-0.048,-0.079
18,,,0.303,-0.043,-0.039,-0.027,0.014,-0.046,-0.125,-0.048,-0.006,0.03,0.178,0.158,0.172,0.058,0.02,-0.045,-0.052,-0.036,-0.041,-0.058,-0.064
19,,,0.299,-0.044,-0.044,-0.03,0.009,-0.043,-0.109,-0.042,0.01,0.05,0.19,0.157,0.146,0.04,-0.002,-0.063,-0.072,-0.05,-0.049,-0.036,-0.017
20,,,0.236,-0.022,-0.021,-0.022,-0.001,-0.036,-0.078,-0.033,0.007,0.061,0.157,0.115,0.087,0.017,-0.026,-0.073,-0.079,-0.046,-0.034,-0.005,0.034
21,,,0.222,-0.025,-0.022,-0.019,-0.002,-0.031,-0.065,-0.028,0.01,0.066,0.141,0.101,0.074,0.013,-0.029,-0.072,-0.081,-0.044,-0.03,-0.001,0.042
22,,,0.251,-0.044,-0.037,-0.023,0.015,-0.035,-0.094,-0.029,0.013,0.047,0.157,0.128,0.12,0.022,-0.015,-0.066,-0.065,-0.027,-0.017,-0.023,-0.027
23,,,0.269,-0.045,-0.038,-0.022,0.017,-0.037,-0.109,-0.037,0.002,0.035,0.16,0.139,0.144,0.045,0.001,-0.056,-0.057,-0.023,-0.02,-0.035,-0.059
24,,,0.243,-0.036,-0.03,-0.024,0.001,-0.038,-0.085,-0.036,0.005,0.049,0.158,0.125,0.11,0.031,-0.006,-0.049,-0.063,-0.036,-0.032,-0.027,-0.018
25,,,0.308,-0.04,-0.038,-0.028,0.012,-0.043,-0.117,-0.04,-0.012,-0.02,0.135,0.15,0.191,0.098,0.063,-0.006,-0.039,-0.046,-0.056,-0.077,-0.088
26,,,0.263,-0.086,-0.067,-0.026,0.056,-0.007,-0.088,-0.001,0.015,-0.004,0.141,0.136,0.175,0.025,-0.012,-0.068,-0.069,-0.033,-0.03,-0.037,-0.021
27,,,0.329,-0.043,-0.037,-0.026,0.024,-0.043,-0.14,-0.049,-0.007,0.014,0.173,0.162,0.189,0.06,0.026,-0.043,-0.053,-0.039,-0.043,-0.062,-0.064
28,,,0.241,-0.031,-0.031,-0.025,-0.001,-0.039,-0.084,-0.038,0.003,0.048,0.157,0.12,0.107,0.038,-0.002,-0.046,-0.056,-0.03,-0.027,-0.028,-0.034
29,,,0.331,-0.049,-0.044,-0.028,0.022,-0.046,-0.138,-0.049,-0.001,0.02,0.186,0.173,0.193,0.063,0.017,-0.049,-0.06,-0.04,-0.051,-0.06,-0.06
30,,,0.277,-0.052,-0.043,-0.032,0.017,-0.038,-0.107,-0.031,0.006,0.035,0.17,0.147,0.16,0.043,0.003,-0.054,-0.063,-0.043,-0.043,-0.047,-0.028
31,,,0.282,-0.044,-0.039,-0.025,0.012,-0.043,-0.114,-0.037,0.005,0.04,0.168,0.146,0.151,0.042,0,-0.056,-0.056,-0.023,-0.025,-0.041,-0.061
32,,,0.358,-0.052,-0.052,-0.03,0.019,-0.053,-0.149,-0.057,-0.002,0.02,0.202,0.189,0.209,0.07,0.029,-0.039,-0.053,-0.038,-0.047,-0.074,-0.093
33,,,0.308,-0.043,-0.04,-0.027,0.019,-0.042,-0.128,-0.047,-0.007,0.02,0.176,0.159,0.18,0.06,0.017,-0.041,-0.057,-0.041,-0.043,-0.055,-0.059
34,,,0.282,-0.043,-0.036,-0.028,0.011,-0.041,-0.107,-0.037,-0.007,-0.015,0.137,0.143,0.175,0.089,0.052,-0.01,-0.042,-0.041,-0.054,-0.069,-0.078
35,,,0.269,-0.038,-0.035,-0.029,-0.004,-0.041,-0.093,-0.041,0.004,0.055,0.176,0.143,0.121,0.042,0,-0.053,-0.068,-0.04,-0.044,-0.037,-0.018
36,,,0.214,-0.03,-0.026,-0.017,0.005,-0.03,-0.078,-0.03,0.012,0.052,0.136,0.1,0.09,0.015,-0.022,-0.065,-0.059,-0.02,-0.006,-0.009,-0.019
37,,,0.244,-0.03,-0.026,-0.018,0.005,-0.035,-0.095,-0.044,-0.004,0.031,0.149,0.124,0.127,0.044,0.003,-0.046,-0.057,-0.029,-0.03,-0.032,-0.036
38,,,0.392,-0.062,-0.053,-0.034,0.029,-0.051,-0.159,-0.057,-0.004,0.009,0.191,0.196,0.233,0.077,0.038,-0.026,-0.04,-0.03,-0.044,-0.083,-0.129
39,,,0.382,-0.041,-0.04,-0.036,-0.016,-0.066,-0.119,-0.075,-0.035,-0.001,0.165,0.176,0.205,0.128,0.103,0.046,0.01,-0.025,-0.072,-0.13,-0.177
40,,,0.241,-0.026,-0.026,-0.02,-0.001,-0.035,-0.085,-0.036,0.005,0.057,0.156,0.119,0.096,0.026,-0.018,-0.059,-0.071,-0.041,-0.037,-0.019,0.014
41,,,0.337,-0.061,-0.054,-0.033,0.022,-0.047,-0.138,-0.043,0.006,0.03,0.196,0.186,0.199,0.059,0.021,-0.055,-0.064,-0.049,-0.056,-0.066,-0.053
